
id,service_type,cancellation_policy,can_provide_oral_medication,can_provide_injected_medication,senior_dog_experience,special_needs_experience,takes_small_dogs,takes_medium_dogs,takes_large_dogs,takes_puppies,max_dogs,provider_id,fee,price,added
25,day-care,strict,1,0,1,0,1,1,1,1,6,12,0.15,31,"2016-08-02 16:35:43.810676"
26,boarding,moderate,1,0,1,0,1,0,0,1,6,13,0.15,40,"2016-08-02 17:13:21.351121"
27,dog-walking,strict,1,0,1,0,1,1,0,1,3,13,0.15,22,"2016-08-02 17:13:21.351121"
28,day-care,flexible,1,0,1,1,1,1,1,1,3,13,0.15,23,"2016-08-02 17:13:21.351121"
29,boarding,moderate,1,0,1,0,1,1,1,1,6,14,0.15,37,"2016-08-02 12:34:38.203442"
30,day-care,flexible,1,0,1,0,1,0,1,1,1,14,0.15,29,"2016-08-02 12:34:38.203442"
31,boarding,strict,1,0,1,0,1,0,1,0,2,15,0.15,30,"2016-08-02 07:52:39.211846"
32,day-care,flexible,1,0,1,1,1,1,1,1,2,15,0.15,29,"2016-08-02 07:52:39.211846"
33,boarding,moderate,1,1,1,0,1,1,0,0,1,16,0.15,38,"2016-08-02 11:10:34.172522"
34,dog-walking,flexible,1,1,0,1,1,1,0,0,2,16,0.15,22,"2016-08-02 11:10:34.172522"
35,dog-walking,strict,1,0,1,0,1,1,1,1,6,17,0.15,24,"2016-08-02 19:53:16.011167"
36,boarding,moderate,0,0,1,0,1,0,1,1,1,18,0.15,30,"2016-08-02 14:48:54.459150"
37,boarding,strict,0,1,1,0,1,1,0,1,4,19,0.15,34,"2016-08-02 14:08:49.464516"
38,boarding,strict,1,1,1,0,1,1,0,1,2,20,0.15,37,"2016-08-02 06:38:25.223392"
39,day-care,moderate,1,0,1,0,1,0,0,1,5,20,0.15,23,"2016-08-02 06:38:25.223392"
40,boarding,flexible,1,0,1,1,1,1,0,0,3,21,0.15,36,"2016-08-02 09:51:54.108893"
41,day-care,flexible,1,0,1,0,1,0,0,1,5,21,0.15,31,"2016-08-02 09:51:54.108893"
42,boarding,strict,1,0,1,1,1,1,0,1,3,22,0.15,34,"2016-08-02 19:17:28.036677"
43,boarding,moderate,1,0,0,0,1,0,0,1,2,23,0.15,28,"2016-08-02 16:39:37.593557"
44,boarding,moderate,1,0,1,0,1,1,1,0,1,24,0.15,34,"2016-08-02 16:50:48.970984"
45,day-care,strict,1,0,1,1,1,0,0,1,2,24,0.15,27,"2016-08-02 16:50:48.970984"
46,boarding,flexible,1,0,1,1,0,1,0,0,3,25,0.15,31,"2016-08-02 11:21:41.183463"
47,dog-walking,moderate,1,0,1,0,1,1,0,1,3,25,0.15,22,"2016-08-02 11:21:41.183463"
48,dog-walking,strict,1,0,1,0,0,1,0,1,3,26,0.15,23,"2016-08-02 13:07:37.169604"
49,day-care,strict,1,0,0,0,1,1,0,1,4,26,0.15,26,"2016-08-02 13:07:37.169604"
50,dog-walking,strict,1,0,1,0,1,1,1,0,4,27,0.15,26,"2016-08-02 17:37:13.546001"
51,day-care,flexible,1,0,1,0,1,1,1,1,2,27,0.15,28,"2016-08-02 17:37:13.546001"
52,dog-walking,flexible,1,0,1,0,0,1,0,0,1,28,0.15,26,"2016-08-02 12:52:15.132820"
53,boarding,flexible,1,1,1,0,1,1,1,1,4,29,0.15,35,"2016-08-02 14:32:10.634434"
54,boarding,strict,1,1,1,0,1,1,1,0,6,30,0.15,41,"2016-08-02 16:19:32.487556"
55,dog-walking,strict,1,0,1,0,1,1,1,1,5,30,0.15,27,"2016-08-02 16:19:32.487556"
56,day-care,moderate,1,0,0,0,1,1,1,0,3,30,0.15,29,"2016-08-02 16:19:32.487556"
57,dog-walking,flexible,1,0,1,1,1,0,0,1,6,31,0.15,25,"2016-08-02 17:24:53.948226"
58,boarding,flexible,1,1,1,0,1,1,1,1,8,32,0.15,35,"2016-08-02 14:16:01.398203"
59,dog-walking,flexible,1,0,1,0,1,1,0,1,4,33,0.15,21,"2016-08-02 19:53:16.383845"
60,day-care,flexible,1,0,1,0,1,1,1,1,2,33,0.15,28,"2016-08-02 19:53:16.383845"
61,dog-walking,strict,1,0,1,0,1,1,0,1,3,34,0.15,22,"2016-08-02 08:12:55.471208"
62,boarding,moderate,1,0,1,1,1,1,0,0,5,35,0.15,40,"2016-08-02 13:22:35.163256"
63,dog-walking,moderate,1,1,1,0,1,1,1,1,4,35,0.15,25,"2016-08-02 13:22:35.163256"
64,dog-walking,flexible,1,0,1,0,1,1,1,1,7,36,0.15,19,"2016-08-02 12:40:13.878068"
65,boarding,flexible,1,0,1,0,1,1,1,1,1,37,0.15,34,"2016-08-02 13:33:55.188299"
66,day-care,strict,1,0,1,0,1,1,0,1,2,38,0.15,25,"2016-08-02 15:30:00.942035"
67,boarding,moderate,1,0,1,0,1,1,0,0,6,39,0.15,31,"2016-08-02 14:29:35.406991"
68,dog-walking,strict,0,1,1,0,1,1,1,1,4,40,0.15,21,"2016-08-02 12:17:15.277164"
69,boarding,strict,0,0,1,0,1,1,1,1,3,41,0.15,29,"2016-08-02 10:47:56.103632"
70,boarding,moderate,1,0,1,0,1,1,1,1,3,42,0.15,41,"2016-08-02 16:45:15.098199"
71,dog-walking,moderate,1,0,1,0,1,0,1,1,5,42,0.15,21,"2016-08-02 16:45:15.098199"
72,boarding,moderate,1,0,1,0,1,1,1,1,5,43,0.15,34,"2016-08-02 17:15:04.325374"
73,dog-walking,strict,1,0,1,0,0,1,1,0,3,43,0.15,19,"2016-08-02 17:15:04.325374"
74,day-care,flexible,1,0,1,1,1,1,1,0,3,43,0.15,27,"2016-08-02 17:15:04.325374"
75,dog-walking,flexible,1,0,1,0,1,1,1,1,5,44,0.15,21,"2016-08-02 16:13:40.979839"
76,day-care,moderate,1,0,1,0,1,1,0,1,3,44,0.15,26,"2016-08-02 16:13:40.979839"
77,dog-walking,flexible,1,0,1,0,1,1,1,0,4,45,0.15,25,"2016-08-02 18:50:45.508200"
78,boarding,flexible,1,0,1,1,1,1,0,1,1,46,0.15,33,"2016-08-02 18:16:41.582876"
79,day-care,moderate,1,0,1,0,1,0,0,1,5,46,0.15,29,"2016-08-02 18:16:41.582876"
80,boarding,moderate,1,1,1,0,1,1,0,0,4,47,0.15,32,"2016-08-02 14:55:46.590962"
81,dog-walking,strict,1,0,1,0,1,0,0,0,5,47,0.15,22,"2016-08-02 14:55:46.590962"
82,dog-walking,flexible,1,0,1,0,1,1,1,0,6,48,0.15,22,"2016-08-02 14:01:33.350360"
83,boarding,strict,1,0,1,0,1,1,0,1,4,49,0.15,32,"2016-08-02 07:45:01.930164"
84,day-care,strict,1,0,1,0,1,0,0,0,8,50,0.15,30,"2016-08-02 11:17:34.605836"
85,dog-walking,moderate,1,0,1,0,0,1,1,1,4,51,0.15,17,"2016-08-02 15:25:21.294869"
86,boarding,moderate,1,1,1,0,1,1,1,0,4,52,0.15,40,"2016-08-02 12:16:48.946466"
87,dog-walking,flexible,0,0,1,0,1,1,0,1,6,52,0.15,21,"2016-08-02 12:16:48.946466"
88,day-care,flexible,0,0,0,0,1,1,1,1,4,52,0.15,31,"2016-08-02 12:16:48.946466"
89,dog-walking,strict,1,0,1,1,1,0,1,1,5,53,0.15,21,"2016-08-02 16:41:05.116457"
90,dog-walking,moderate,1,0,1,1,1,1,0,1,4,54,0.15,24,"2016-08-02 08:39:40.467858"
91,day-care,flexible,1,0,1,1,1,0,0,1,2,54,0.15,23,"2016-08-02 08:39:40.467858"
92,boarding,moderate,1,0,1,0,1,0,0,1,5,55,0.15,40,"2016-08-02 16:33:05.811456"
93,day-care,strict,1,0,1,1,1,0,0,0,3,55,0.15,29,"2016-08-02 16:33:05.811456"
94,boarding,moderate,1,0,1,0,1,1,1,0,4,56,0.15,37,"2016-08-02 15:11:10.696249"
95,day-care,strict,1,0,1,0,1,1,1,1,3,56,0.15,29,"2016-08-02 15:11:10.696249"
96,boarding,flexible,1,1,1,0,1,1,0,1,3,57,0.15,31,"2016-08-02 15:07:05.517332"
97,day-care,flexible,1,0,1,0,1,1,0,1,3,57,0.15,28,"2016-08-02 15:07:05.517332"
98,boarding,moderate,1,1,1,0,1,0,1,1,2,58,0.15,40,"2016-08-02 17:23:55.962857"
99,dog-walking,strict,1,0,1,0,1,1,0,1,6,58,0.15,21,"2016-08-02 17:23:55.962857"
100,day-care,strict,1,1,1,0,1,1,0,1,2,58,0.15,25,"2016-08-02 17:23:55.962857"
101,dog-walking,strict,1,0,1,1,1,1,1,0,6,59,0.15,22,"2016-08-02 10:26:11.637087"
102,dog-walking,strict,1,0,1,0,1,1,1,0,3,60,0.15,23,"2016-08-02 15:32:05.948678"
103,day-care,flexible,0,0,1,0,1,1,1,0,4,60,0.15,27,"2016-08-02 15:32:05.948678"
104,dog-walking,flexible,1,0,0,0,1,1,0,0,2,61,0.15,20,"2016-08-02 10:48:13.875618"
105,dog-walking,strict,0,0,0,0,1,1,0,0,4,62,0.15,17,"2016-08-02 16:45:42.388808"
106,day-care,strict,1,0,1,0,1,1,1,1,1,62,0.15,23,"2016-08-02 16:45:42.388808"
107,boarding,moderate,1,0,1,0,1,1,1,1,5,63,0.15,30,"2016-08-02 08:07:10.634450"
108,dog-walking,flexible,1,0,1,0,1,1,0,1,3,63,0.15,23,"2016-08-02 08:07:10.634450"
109,boarding,flexible,1,0,0,0,0,1,1,1,3,64,0.15,36,"2016-08-02 19:46:53.334832"
110,dog-walking,flexible,1,0,1,0,1,0,1,1,2,65,0.15,18,"2016-08-02 10:34:25.530958"
111,boarding,moderate,1,0,1,1,1,1,1,1,4,66,0.15,35,"2016-08-02 09:23:24.710725"
112,dog-walking,flexible,1,0,0,1,1,1,0,1,4,66,0.15,21,"2016-08-02 09:23:24.710725"
113,day-care,strict,1,0,1,0,1,1,0,1,1,66,0.15,30,"2016-08-02 09:23:24.710725"
114,boarding,flexible,1,0,1,0,1,1,0,1,7,67,0.15,38,"2016-08-02 16:48:56.871047"
115,dog-walking,strict,1,0,1,1,1,0,0,1,2,67,0.15,23,"2016-08-02 16:48:56.871047"
116,day-care,moderate,1,0,0,0,1,1,0,1,5,67,0.15,31,"2016-08-02 16:48:56.871047"
117,boarding,strict,1,1,1,0,1,1,0,1,3,68,0.15,29,"2016-08-02 11:09:05.957209"
118,dog-walking,moderate,1,0,1,0,0,0,0,1,5,68,0.15,24,"2016-08-02 11:09:05.957209"
119,day-care,strict,1,0,1,1,1,0,1,0,6,68,0.15,29,"2016-08-02 11:09:05.957209"
120,day-care,moderate,0,0,1,0,1,1,0,1,2,69,0.15,25,"2016-08-02 15:55:18.191124"
121,boarding,moderate,1,0,0,0,1,1,0,1,2,70,0.15,39,"2016-08-02 15:14:36.370791"
122,dog-walking,strict,1,0,0,0,1,0,1,1,3,70,0.15,23,"2016-08-02 15:14:36.370791"
123,boarding,flexible,1,0,1,0,1,1,1,1,3,71,0.15,37,"2016-08-02 13:21:52.760696"
124,dog-walking,flexible,1,1,1,1,1,0,1,0,5,71,0.15,23,"2016-08-02 13:21:52.760696"
125,dog-walking,strict,1,1,1,1,1,1,0,0,2,72,0.15,24,"2016-08-02 07:45:43.254141"
126,dog-walking,moderate,0,0,1,1,1,1,0,1,3,73,0.15,26,"2016-08-02 07:09:42.352410"
127,day-care,flexible,1,1,1,0,0,1,1,1,1,73,0.15,31,"2016-08-02 07:09:42.352410"
128,boarding,moderate,1,1,1,0,1,1,1,1,6,74,0.15,33,"2016-08-02 07:33:31.236951"
129,dog-walking,moderate,1,1,1,0,1,1,1,1,2,74,0.15,25,"2016-08-02 07:33:31.236951"
130,boarding,moderate,1,0,1,1,1,1,1,1,3,75,0.15,30,"2016-08-02 16:31:14.806538"
131,boarding,moderate,1,0,1,0,0,0,1,1,2,76,0.15,41,"2016-08-02 19:03:56.091783"
132,dog-walking,strict,1,0,1,1,1,0,1,0,5,76,0.15,24,"2016-08-02 19:03:56.091783"
133,boarding,flexible,0,1,1,0,1,1,1,0,7,77,0.15,37,"2016-08-02 16:41:24.232621"
134,dog-walking,flexible,1,0,1,0,1,1,0,1,5,77,0.15,26,"2016-08-02 16:41:24.232621"
135,day-care,moderate,1,0,1,0,1,1,0,1,2,77,0.15,23,"2016-08-02 16:41:24.232621"
136,boarding,moderate,1,0,1,0,1,1,0,1,2,78,0.15,30,"2016-08-02 15:11:06.439347"
137,boarding,flexible,1,0,1,1,1,0,0,1,2,79,0.15,31,"2016-08-02 09:49:16.466595"
138,day-care,flexible,1,0,1,0,1,0,0,1,1,79,0.15,29,"2016-08-02 09:49:16.466595"
139,day-care,moderate,1,0,1,0,1,1,1,1,2,80,0.15,30,"2016-08-02 09:26:26.533728"
140,boarding,moderate,1,0,1,0,1,1,1,1,3,81,0.15,36,"2016-08-02 12:11:06.077613"
141,day-care,moderate,1,0,0,0,1,0,0,0,6,81,0.15,28,"2016-08-02 12:11:06.077613"
142,dog-walking,strict,1,1,1,0,1,1,0,1,2,82,0.15,20,"2016-08-02 10:14:58.272059"
143,dog-walking,flexible,1,0,1,0,1,1,1,1,3,83,0.15,18,"2016-08-02 12:14:35.542459"
144,day-care,moderate,1,0,1,0,1,0,1,1,2,83,0.15,26,"2016-08-02 12:14:35.542459"
145,boarding,moderate,1,0,1,1,1,0,1,1,3,84,0.15,38,"2016-08-02 16:24:19.840701"
146,day-care,moderate,1,0,1,0,1,1,0,0,5,84,0.15,24,"2016-08-02 16:24:19.840701"
147,boarding,strict,1,0,1,0,1,1,0,1,2,85,0.15,39,"2016-08-02 15:48:23.599372"
148,boarding,strict,1,0,1,0,1,1,0,1,6,86,0.15,34,"2016-08-02 09:37:29.804078"
149,dog-walking,strict,1,0,1,0,1,1,0,1,2,86,0.15,23,"2016-08-02 09:37:29.804078"
150,day-care,moderate,1,1,1,0,1,1,1,0,4,86,0.15,30,"2016-08-02 09:37:29.804078"
151,boarding,flexible,1,1,1,0,1,1,1,1,6,87,0.15,35,"2016-08-02 14:51:58.753496"
152,day-care,moderate,1,1,0,0,1,1,0,1,3,87,0.15,27,"2016-08-02 14:51:58.753496"
153,boarding,moderate,1,0,1,1,1,1,0,1,6,88,0.15,36,"2016-08-02 11:53:47.220622"
154,boarding,flexible,1,1,1,1,1,1,1,0,2,89,0.15,31,"2016-08-02 13:39:20.354116"
155,day-care,strict,1,0,1,0,1,1,1,1,7,89,0.15,29,"2016-08-02 13:39:20.354116"
156,boarding,moderate,1,0,1,0,1,1,1,1,5,90,0.15,31,"2016-08-02 16:46:05.034061"
157,boarding,strict,1,0,0,0,1,1,0,1,4,91,0.15,27,"2016-08-02 11:38:00.473980"
158,dog-walking,flexible,1,0,1,1,1,1,1,0,2,91,0.15,24,"2016-08-02 11:38:00.473980"
159,day-care,strict,1,0,1,0,1,1,1,1,1,91,0.15,27,"2016-08-02 11:38:00.473980"
160,boarding,flexible,1,0,1,1,1,1,0,0,5,92,0.15,27,"2016-08-02 10:22:50.519605"
161,day-care,flexible,1,0,1,0,1,1,1,1,2,92,0.15,24,"2016-08-02 10:22:50.519605"
162,boarding,flexible,1,1,1,1,1,1,1,0,3,93,0.15,38,"2016-08-02 19:41:24.046454"
163,day-care,flexible,1,0,1,0,1,1,1,1,2,93,0.15,25,"2016-08-02 19:41:24.046454"
164,boarding,strict,0,0,1,0,1,0,1,0,3,94,0.15,30,"2016-08-02 15:37:29.556635"
165,boarding,flexible,0,0,1,1,1,0,1,1,5,95,0.15,38,"2016-08-02 07:01:30.306959"
166,dog-walking,flexible,1,1,1,1,1,1,0,1,1,95,0.15,23,"2016-08-02 07:01:30.306959"
167,day-care,moderate,1,1,1,0,1,1,1,1,4,95,0.15,29,"2016-08-02 07:01:30.306959"
168,boarding,strict,1,0,0,0,1,1,0,0,3,96,0.15,35,"2016-08-02 10:11:25.611602"
169,day-care,moderate,1,1,1,0,0,0,0,0,4,96,0.15,26,"2016-08-02 10:11:25.611602"
170,boarding,moderate,1,0,1,1,0,1,1,0,4,97,0.15,34,"2016-08-02 16:07:24.043968"
171,dog-walking,flexible,1,0,1,1,1,1,0,1,4,97,0.15,25,"2016-08-02 16:07:24.043968"
172,day-care,flexible,1,0,1,0,0,1,0,1,1,97,0.15,33,"2016-08-02 16:07:24.043968"
173,boarding,strict,1,0,1,0,1,1,1,1,1,98,0.15,35,"2016-08-02 13:06:03.108051"
174,dog-walking,moderate,0,0,1,0,1,0,0,1,5,98,0.15,19,"2016-08-02 13:06:03.108051"
175,day-care,strict,1,0,1,0,1,0,0,1,4,98,0.15,33,"2016-08-02 13:06:03.108051"
176,boarding,flexible,1,1,1,0,1,1,0,1,3,99,0.15,36,"2016-08-02 09:39:17.269853"
177,day-care,flexible,1,0,1,0,1,0,1,1,2,99,0.15,25,"2016-08-02 09:39:17.269853"
178,dog-walking,strict,1,0,1,0,1,1,0,1,5,100,0.15,24,"2016-08-02 08:08:07.404500"
179,day-care,flexible,1,1,1,0,1,1,1,0,4,101,0.2,23,"2018-07-13 23:07:05.102626"
180,day-care,moderate,1,0,0,0,1,1,0,1,5,102,0.2,27,"2017-06-06 21:53:45.267072"
181,boarding,strict,0,0,1,0,1,0,1,0,3,103,0.2,33,"2018-01-15 06:13:08.565152"
182,day-care,moderate,1,0,1,0,1,0,0,1,4,104,0.2,29,"2018-07-02 14:33:08.821202"
183,boarding,strict,1,0,1,0,1,0,1,1,5,105,0.2,31,"2018-01-16 18:13:46.226071"
184,dog-walking,strict,1,0,1,0,1,1,1,1,7,105,0.2,22,"2018-01-16 18:13:46.226071"
185,day-care,moderate,1,0,1,0,1,1,1,1,1,105,0.2,26,"2018-01-16 18:13:46.226071"
186,boarding,strict,1,0,1,0,1,1,1,1,3,106,0.2,38,"2017-07-17 16:27:17.788851"
187,day-care,flexible,1,1,1,1,0,1,1,1,3,106,0.2,23,"2017-07-17 16:27:17.788851"
188,boarding,flexible,1,0,1,1,1,1,0,0,2,107,0.2,33,"2018-01-11 10:22:45.645995"
189,dog-walking,strict,1,0,1,1,1,1,0,1,2,107,0.2,20,"2018-01-11 10:22:45.645995"
190,boarding,flexible,1,0,1,0,1,1,1,0,7,108,0.2,34,"2018-02-12 23:49:32.141216"
191,day-care,flexible,1,0,0,1,1,1,1,1,2,108,0.2,28,"2018-02-12 23:49:32.141216"
192,boarding,moderate,1,1,1,0,1,1,1,0,5,109,0.2,32,"2018-06-13 14:29:28.464395"
193,dog-walking,strict,1,0,0,0,1,0,0,0,5,109,0.2,19,"2018-06-13 14:29:28.464395"
194,day-care,moderate,1,0,0,1,1,1,1,1,4,109,0.2,27,"2018-06-13 14:29:28.464395"
195,boarding,strict,1,1,1,0,1,1,1,0,3,110,0.2,36,"2018-07-28 22:45:26.107438"
196,boarding,flexible,1,0,1,0,1,1,1,1,6,111,0.2,34,"2017-06-26 01:57:23.932426"
197,dog-walking,flexible,1,0,1,0,0,1,0,1,4,111,0.2,26,"2017-06-26 01:57:23.932426"
198,day-care,flexible,1,1,1,0,1,1,0,1,3,111,0.2,28,"2017-06-26 01:57:23.932426"
199,boarding,flexible,1,0,1,0,0,1,0,1,2,112,0.2,41,"2018-01-21 09:24:07.539774"
200,dog-walking,flexible,1,0,1,0,1,1,1,1,2,112,0.2,19,"2018-01-21 09:24:07.539774"
201,boarding,flexible,1,1,1,1,1,1,0,1,7,113,0.2,30,"2017-06-11 01:13:05.526501"
202,dog-walking,strict,1,0,1,0,1,1,1,1,1,113,0.2,20,"2017-06-11 01:13:05.526501"
203,day-care,strict,1,1,1,0,1,1,1,1,4,113,0.2,29,"2017-06-11 01:13:05.526501"
204,boarding,flexible,1,0,1,1,0,1,0,0,3,114,0.15,38,"2017-05-01 14:50:01.931798"
205,dog-walking,flexible,1,0,0,1,1,1,0,1,3,114,0.15,25,"2017-05-01 14:50:01.931798"
206,day-care,strict,1,0,1,0,1,1,1,1,5,114,0.15,27,"2017-05-01 14:50:01.931798"
207,day-care,flexible,1,0,1,0,0,1,0,1,7,115,0.2,29,"2018-05-22 16:57:05.843701"
208,boarding,strict,1,1,1,1,1,1,1,1,2,116,0.2,29,"2017-10-02 15:30:56.442147"
209,dog-walking,strict,0,0,1,0,1,0,0,1,2,117,0.2,23,"2017-09-11 19:21:31.587861"
210,day-care,strict,1,0,1,0,1,0,1,1,7,117,0.2,32,"2017-09-11 19:21:31.587861"
211,boarding,flexible,1,0,1,0,1,1,1,1,5,118,0.15,31,"2017-04-17 21:48:40.767868"
212,dog-walking,flexible,1,0,1,0,1,1,0,0,1,118,0.15,21,"2017-04-17 21:48:40.767868"
213,day-care,flexible,1,0,1,1,1,0,1,1,4,118,0.15,27,"2017-04-17 21:48:40.767868"
214,boarding,flexible,1,0,1,0,1,1,0,1,2,119,0.2,37,"2018-05-19 14:33:35.585937"
215,dog-walking,strict,1,0,1,0,0,1,0,1,3,119,0.2,21,"2018-05-19 14:33:35.585937"
216,day-care,flexible,0,0,0,1,1,1,1,1,4,120,0.2,28,"2017-08-01 17:20:06.711081"
217,boarding,flexible,1,0,0,1,1,1,0,1,5,121,0.2,41,"2018-05-05 01:35:32.050845"
218,boarding,strict,1,1,1,1,0,1,0,1,6,122,0.2,38,"2018-02-22 20:22:28.930031"
219,dog-walking,flexible,1,0,1,0,1,0,1,1,3,122,0.2,18,"2018-02-22 20:22:28.930031"
220,boarding,moderate,1,0,0,0,1,1,0,1,4,123,0.2,35,"2017-06-24 10:00:35.200101"
221,dog-walking,moderate,1,0,1,0,1,1,0,0,4,123,0.2,19,"2017-06-24 10:00:35.200101"
222,boarding,strict,1,0,1,0,1,1,1,1,2,124,0.2,29,"2018-05-13 16:38:35.720051"
223,dog-walking,flexible,1,0,1,0,1,1,1,1,3,124,0.2,24,"2018-05-13 16:38:35.720051"
224,boarding,strict,1,1,1,0,1,1,0,1,5,125,0.2,34,"2017-12-18 04:42:39.791733"
225,dog-walking,flexible,1,1,1,0,1,1,0,1,7,125,0.2,24,"2017-12-18 04:42:39.791733"
226,day-care,flexible,0,0,1,0,1,1,1,1,5,125,0.2,28,"2017-12-18 04:42:39.791733"
227,boarding,strict,1,0,1,0,1,0,0,1,2,126,0.15,32,"2017-02-15 15:50:42.442256"
228,dog-walking,strict,1,1,1,0,1,1,0,1,2,126,0.15,16,"2017-02-15 15:50:42.442256"
229,dog-walking,moderate,1,0,1,0,1,1,1,0,2,127,0.15,21,"2017-04-17 11:14:19.372210"
230,boarding,flexible,1,0,1,1,1,1,0,1,4,128,0.2,33,"2017-09-09 15:54:15.534523"
231,dog-walking,strict,1,0,1,0,1,1,1,1,1,128,0.2,16,"2017-09-09 15:54:15.534523"
232,boarding,moderate,1,0,1,1,1,0,1,1,6,129,0.2,27,"2018-03-06 00:53:04.395443"
233,day-care,flexible,1,1,1,0,0,1,0,1,5,129,0.2,29,"2018-03-06 00:53:04.395443"
234,boarding,strict,1,0,1,1,1,1,1,1,2,130,0.2,35,"2017-12-04 14:20:13.729550"
235,day-care,strict,1,0,1,0,1,1,0,1,5,130,0.2,23,"2017-12-04 14:20:13.729550"
236,boarding,strict,1,0,1,0,1,1,0,1,2,131,0.2,37,"2018-06-27 18:03:22.969622"
237,boarding,moderate,1,1,0,0,1,0,1,1,5,132,0.2,36,"2018-01-04 04:15:45.111071"
238,dog-walking,flexible,1,1,1,0,1,1,0,0,5,132,0.2,21,"2018-01-04 04:15:45.111071"
239,day-care,flexible,1,0,1,1,1,0,1,1,1,132,0.2,31,"2018-01-04 04:15:45.111071"
240,dog-walking,moderate,0,0,1,0,1,0,1,1,4,133,0.2,25,"2018-06-02 15:01:23.874093"
241,day-care,moderate,1,0,1,0,1,1,1,1,2,133,0.2,26,"2018-06-02 15:01:23.874093"
242,dog-walking,flexible,1,0,1,0,1,1,0,1,2,134,0.15,27,"2017-01-03 11:57:33.611910"
243,boarding,moderate,1,0,1,0,1,1,1,0,2,135,0.2,34,"2017-06-26 10:49:20.744506"
244,boarding,strict,1,0,1,0,1,1,0,1,1,136,0.2,35,"2018-02-16 06:02:52.581121"
245,boarding,moderate,0,1,1,0,1,0,0,1,3,137,0.15,38,"2017-05-16 04:47:23.182152"
246,dog-walking,moderate,1,0,1,1,1,1,1,0,1,137,0.15,25,"2017-05-16 04:47:23.182152"
247,dog-walking,moderate,1,0,1,0,1,1,1,1,3,138,0.2,22,"2017-09-29 16:16:10.868571"
248,boarding,strict,1,0,0,1,1,1,1,1,2,139,0.2,30,"2018-05-03 04:30:46.431241"
249,dog-walking,moderate,0,0,1,0,1,1,1,1,2,139,0.2,17,"2018-05-03 04:30:46.431241"
250,day-care,moderate,1,0,1,0,1,1,1,0,3,139,0.2,29,"2018-05-03 04:30:46.431241"
251,dog-walking,strict,1,0,1,0,1,1,0,1,5,140,0.2,22,"2018-06-10 16:54:04.077517"
252,boarding,moderate,1,0,1,0,1,1,1,0,5,141,0.2,29,"2017-11-24 03:14:30.027007"
253,dog-walking,flexible,1,0,1,0,1,0,1,0,2,141,0.2,25,"2017-11-24 03:14:30.027007"
